invoice_id,customer_id,issue_date,due_date,invoice_amount,currency,status,invoice_type,channel,created_at
INV-00001,CUST-0075,2025-09-30,2025-11-29,22898.58,USD,open,recurring,offline,2025-09-30
INV-00002,CUST-0059,2025-11-29,2026-01-13,35770.74,USD,open,recurring,online,2025-11-29
INV-00003,CUST-0063,2026-01-07,2026-01-22,9819.87,USD,paid,recurring,online,2026-01-07
INV-00004,CUST-0079,2025-12-12,2025-12-27,54980.87,USD,open,one_time,online,2025-12-12
INV-00005,CUST-0096,2025-04-10,2025-05-10,5729.15,USD,paid,milestone,offline,2025-04-10
INV-00006,CUST-0029,2025-11-02,2025-11-17,32341.0,USD,open,one_time,online,2025-11-02
INV-00007,CUST-0027,2025-05-11,2025-07-10,43073.55,USD,open,recurring,online,2025-05-11
INV-00008,CUST-0073,2025-09-06,2025-10-06,97425.4,USD,open,one_time,online,2025-09-06
INV-00009,CUST-0006,2026-01-11,2026-02-10,49880.84,USD,open,one_time,offline,2026-01-11
INV-00010,CUST-0034,2025-10-09,2025-11-23,33092.09,USD,open,one_time,offline,2025-10-09
INV-00011,CUST-0059,2025-06-24,2025-08-08,117864.1,USD,paid,one_time,online,2025-06-24
INV-00012,CUST-0063,2025-07-17,2025-08-01,28848.64,USD,open,one_time,offline,2025-07-17
INV-00013,CUST-0092,2025-06-04,2025-08-03,48228.03,USD,paid,recurring,online,2025-06-04
INV-00014,CUST-0085,2025-11-04,2025-12-04,41851.93,USD,open,recurring,offline,2025-11-04
INV-00015,CUST-0022,2025-09-16,2025-10-16,18823.41,USD,paid,one_time,offline,2025-09-16
INV-00016,CUST-0086,2025-06-18,2025-08-17,38688.29,USD,open,one_time,online,2025-06-18
INV-00017,CUST-0004,2025-11-28,2025-12-13,6819.31,USD,paid,one_time,offline,2025-11-28
INV-00018,CUST-0081,2025-08-29,2025-10-13,39094.96,USD,paid,one_time,online,2025-08-29
INV-00019,CUST-0044,2025-05-19,2025-07-18,30202.1,USD,paid,recurring,offline,2025-05-19
INV-00020,CUST-0096,2025-04-27,2025-05-27,27783.2,USD,open,recurring,online,2025-04-27
INV-00021,CUST-0059,2025-12-07,2026-01-21,28632.64,USD,open,one_time,offline,2025-12-07
INV-00022,CUST-0048,2025-04-11,2025-06-10,10527.39,USD,paid,one_time,offline,2025-04-11
INV-00023,CUST-0005,2025-04-23,2025-06-07,26056.36,USD,open,one_time,online,2025-04-23
INV-00024,CUST-0059,2025-02-21,2025-04-07,36106.42,USD,open,recurring,online,2025-02-21
INV-00025,CUST-0094,2025-04-11,2025-05-11,15098.11,USD,paid,one_time,online,2025-04-11
INV-00026,CUST-0017,2025-09-02,2025-09-17,32673.4,USD,paid,one_time,online,2025-09-02
INV-00027,CUST-0001,2025-10-26,2025-11-25,42759.01,USD,paid,recurring,offline,2025-10-26
INV-00028,CUST-0066,2025-03-03,2025-05-02,36887.82,USD,open,one_time,offline,2025-03-03
INV-00029,CUST-0023,2025-04-29,2025-05-14,20030.26,USD,paid,one_time,online,2025-04-29
INV-00030,CUST-0100,2025-04-15,2025-04-30,25598.84,USD,paid,recurring,online,2025-04-15
INV-00031,CUST-0032,2025-04-15,2025-06-14,20939.44,USD,paid,recurring,online,2025-04-15
INV-00032,CUST-0093,2025-02-27,2025-03-29,28501.28,USD,paid,one_time,offline,2025-02-27
INV-00033,CUST-0070,2025-07-20,2025-08-04,30547.56,USD,open,one_time,online,2025-07-20
INV-00034,CUST-0069,2025-08-29,2025-09-28,39626.72,USD,paid,recurring,offline,2025-08-29
INV-00035,CUST-0034,2025-04-03,2025-05-18,40676.05,USD,open,recurring,online,2025-04-03
INV-00036,CUST-0048,2025-12-19,2026-02-17,25419.53,USD,paid,one_time,online,2025-12-19
INV-00037,CUST-0093,2025-10-11,2025-11-10,34407.88,USD,paid,one_time,online,2025-10-11
INV-00038,CUST-0062,2025-07-06,2025-08-05,62030.54,USD,open,one_time,online,2025-07-06
INV-00039,CUST-0047,2025-04-02,2025-05-17,64089.26,USD,paid,one_time,online,2025-04-02
INV-00040,CUST-0086,2025-02-16,2025-04-17,75181.68,USD,open,recurring,online,2025-02-16
INV-00041,CUST-0099,2025-03-22,2025-04-06,20494.72,USD,paid,recurring,offline,2025-03-22
INV-00042,CUST-0018,2025-10-31,2025-12-15,65814.92,USD,open,one_time,offline,2025-10-31
INV-00043,CUST-0051,2025-07-05,2025-07-20,9806.09,USD,paid,milestone,offline,2025-07-05
