payment_id,invoice_id,payment_date,amount,method,status
PAY-00001,INV-00003,2026-02-02,9819.87,bank_transfer,completed
PAY-00002,INV-00005,2025-05-09,5729.15,ach,completed
PAY-00003,INV-00011,2025-09-05,117864.1,check,completed
PAY-00004,INV-00013,2025-10-05,48228.03,bank_transfer,completed
PAY-00005,INV-00015,2025-10-24,18823.41,ach,completed
PAY-00006,INV-00017,2025-12-10,6819.31,bank_transfer,completed
PAY-00007,INV-00018,2025-11-08,39094.96,ach,completed
PAY-00008,INV-00019,2025-07-18,30202.1,bank_transfer,completed
PAY-00009,INV-00022,2025-06-07,10527.39,bank_transfer,completed
PAY-00010,INV-00025,2025-05-11,15098.11,credit_card,completed
PAY-00011,INV-00026,2025-09-14,32673.4,ach,completed
PAY-00012,INV-00027,2025-11-22,42759.01,bank_transfer,completed
PAY-00013,INV-00029,2025-05-11,20030.26,bank_transfer,completed
PAY-00014,INV-00030,2025-04-28,25598.84,credit_card,completed
PAY-00015,INV-00031,2025-06-12,20939.44,ach,completed
PAY-00016,INV-00032,2025-03-27,28501.28,bank_transfer,completed
PAY-00017,INV-00034,2025-10-03,39626.72,ach,completed
PAY-00018,INV-00036,2026-01-30,25419.53,ach,completed
PAY-00019,INV-00037,2025-11-07,34407.88,ach,completed
PAY-00020,INV-00039,2025-05-25,64089.26,ach,completed
PAY-00021,INV-00041,2025-04-04,20494.72,ach,completed
PAY-00022,INV-00043,2025-07-20,9806.09,bank_transfer,completed
PAY-00023,INV-00046,2026-02-03,9012.42,bank_transfer,completed
PAY-00024,INV-00049,2026-02-08,24515.4,bank_transfer,completed
PAY-00025,INV-00052,2025-09-18,26771.78,bank_transfer,completed
PAY-00026,INV-00053,2025-07-26,91403.19,bank_transfer,completed
PAY-00027,INV-00054,2025-12-04,20757.1,bank_transfer,completed
PAY-00028,INV-00055,2025-07-11,28335.41,bank_transfer,completed
PAY-00029,INV-00058,2025-05-26,20197.42,ach,completed
PAY-00030,INV-00061,2025-08-17,10085.62,bank_transfer,completed
PAY-00031,INV-00064,2025-06-20,51833.49,credit_card,completed
PAY-00032,INV-00065,2025-08-04,86368.44,ach,completed
PAY-00033,INV-00066,2026-01-09,19173.26,bank_transfer,completed
PAY-00034,INV-00067,2025-10-09,15007.37,credit_card,completed
PAY-00035,INV-00071,2026-01-29,11129.57,bank_transfer,completed
PAY-00036,INV-00074,2026-02-04,15072.87,ach,completed
PAY-00037,INV-00078,2025-06-29,59669.7,bank_transfer,completed
PAY-00038,INV-00081,2025-12-30,29060.07,bank_transfer,completed
PAY-00039,INV-00082,2026-02-02,16992.67,ach,completed
PAY-00040,INV-00086,2025-09-22,10327.64,credit_card,completed
PAY-00041,INV-00087,2026-01-30,85999.38,wire,completed
PAY-00042,INV-00088,2025-05-15,76243.92,wire,completed
PAY-00043,INV-00093,2025-07-11,17606.37,bank_transfer,completed
PAY-00044,INV-00095,2025-12-16,42619.35,ach,completed
PAY-00045,INV-00098,2026-02-08,10528.76,credit_card,completed
PAY-00046,INV-00101,2025-07-24,8107.72,ach,completed
PAY-00047,INV-00103,2025-11-28,33538.6,bank_transfer,completed
PAY-00048,INV-00107,2025-07-07,16392.94,bank_transfer,completed
PAY-00049,INV-00111,2025-04-29,21159.5,bank_transfer,completed
PAY-00050,INV-00113,2025-07-13,67503.96,credit_card,completed
PAY-00051,INV-00116,2025-06-21,19261.9,credit_card,completed
PAY-00052,INV-00119,2026-01-19,110299.76,ach,completed
PAY-00053,INV-00120,2025-10-04,63079.38,bank_transfer,completed
PAY-00054,INV-00122,2025-04-17,14051.94,wire,completed
PAY-00055,INV-00126,2025-06-13,27282.96,bank_transfer,completed
PAY-00056,INV-00127,2026-02-02,56004.38,ach,completed
PAY-00057,INV-00129,2025-10-26,30472.35,bank_transfer,completed
PAY-00058,INV-00131,2026-01-22,50680.71,bank_transfer,completed
PAY-00059,INV-00132,2025-10-06,17995.7,credit_card,completed
PAY-00060,INV-00137,2025-09-23,67107.81,bank_transfer,completed
PAY-00061,INV-00138,2025-11-15,71298.68,ach,completed
PAY-00062,INV-00139,2025-10-14,27497.96,bank_transfer,completed
PAY-00063,INV-00141,2026-02-04,22316.94,bank_transfer,completed
PAY-00064,INV-00143,2025-06-20,32600.39,bank_transfer,completed
PAY-00065,INV-00145,2026-01-31,9064.82,ach,completed
PAY-00066,INV-00147,2025-05-08,32153.32,bank_transfer,completed
PAY-00067,INV-00149,2025-06-30,23037.88,bank_transfer,completed
PAY-00068,INV-00151,2026-01-30,90587.58,credit_card,completed
PAY-00069,INV-00155,2025-12-15,91638.65,ach,completed
PAY-00070,INV-00157,2025-10-18,37395.68,ach,completed
PAY-00071,INV-00160,2025-06-12,9626.94,credit_card,completed
PAY-00072,INV-00163,2026-01-28,101294.97,ach,completed
PAY-00073,INV-00167,2025-08-24,34295.21,bank_transfer,completed
PAY-00074,INV-00169,2026-01-30,9656.87,credit_card,completed
PAY-00075,INV-00173,2025-09-19,22761.42,check,completed
PAY-00076,INV-00175,2025-12-07,26558.47,ach,completed
PAY-00077,INV-00181,2025-09-22,43780.75,bank_transfer,completed
PAY-00078,INV-00182,2026-01-29,94806.72,credit_card,completed
PAY-00079,INV-00183,2025-08-17,13876.64,credit_card,completed
PAY-00080,INV-00188,2026-02-07,31143.92,check,completed
PAY-00081,INV-00190,2025-05-28,17881.2,bank_transfer,completed
PAY-00082,INV-00191,2025-08-21,18372.37,bank_transfer,completed
PAY-00083,INV-00194,2025-05-24,27982.94,bank_transfer,completed
PAY-00084,INV-00197,2025-09-17,90895.63,bank_transfer,completed
PAY-00085,INV-00199,2026-02-04,97955.9,credit_card,completed
PAY-00086,INV-00201,2025-07-16,35826.44,ach,completed
PAY-00087,INV-00203,2025-08-01,7225.37,bank_transfer,completed
PAY-00088,INV-00206,2025-11-17,129725.64,ach,completed
PAY-00089,INV-00207,2025-08-18,22679.4,bank_transfer,completed
PAY-00090,INV-00210,2025-11-13,20374.93,ach,completed
PAY-00091,INV-00213,2026-01-15,15191.85,credit_card,completed
PAY-00092,INV-00216,2025-12-18,29578.15,credit_card,completed
PAY-00093,INV-00217,2026-01-24,25179.34,bank_transfer,completed
PAY-00094,INV-00224,2025-05-12,83030.93,bank_transfer,completed
PAY-00095,INV-00226,2026-02-01,45891.83,bank_transfer,completed
PAY-00096,INV-00227,2026-02-05,84088.25,ach,completed
PAY-00097,INV-00230,2025-11-11,23541.89,credit_card,completed
PAY-00098,INV-00236,2026-01-21,52824.96,bank_transfer,completed
PAY-00099,INV-00237,2026-02-06,32055.45,bank_transfer,completed
PAY-00100,INV-00239,2025-05-13,15950.48,ach,completed
PAY-00101,INV-00241,2025-12-16,7305.45,bank_transfer,completed
PAY-00102,INV-00243,2025-10-11,18075.21,ach,completed
PAY-00103,INV-00244,2025-06-09,34245.85,bank_transfer,completed
PAY-00104,INV-00245,2025-12-11,44756.64,credit_card,completed
PAY-00105,INV-00246,2025-06-30,53417.03,bank_transfer,completed
PAY-00106,INV-00256,2025-12-19,81159.19,bank_transfer,completed
PAY-00107,INV-00258,2025-10-13,11290.2,credit_card,completed
PAY-00108,INV-00265,2025-03-30,49230.73,bank_transfer,completed
PAY-00109,INV-00266,2025-04-06,49966.19,bank_transfer,completed
PAY-00110,INV-00268,2026-02-06,7513.88,bank_transfer,completed
PAY-00111,INV-00269,2025-04-12,88801.13,bank_transfer,completed
PAY-00112,INV-00275,2025-04-13,27712.27,bank_transfer,completed
PAY-00113,INV-00277,2025-12-08,49263.71,ach,completed
PAY-00114,INV-00279,2025-10-02,69370.52,bank_transfer,completed
PAY-00115,INV-00282,2025-10-25,31901.61,ach,completed
PAY-00116,INV-00285,2026-01-29,61646.31,credit_card,completed
PAY-00117,INV-00287,2026-02-03,22760.33,bank_transfer,completed
PAY-00118,INV-00288,2025-04-05,25814.04,bank_transfer,completed
PAY-00119,INV-00290,2025-10-07,57340.99,ach,completed
PAY-00120,INV-00291,2025-09-27,37490.29,bank_transfer,completed
PAY-00121,INV-00292,2025-09-23,12398.25,bank_transfer,completed
PAY-00122,INV-00293,2025-03-20,10195.01,ach,completed
PAY-00123,INV-00295,2025-10-25,20241.38,bank_transfer,completed
PAY-00124,INV-00298,2025-08-27,9240.6,ach,completed
PAY-00125,INV-00299,2025-05-15,19157.71,bank_transfer,completed
PAY-00126,INV-00301,2025-06-24,57811.87,bank_transfer,completed
PAY-00127,INV-00302,2026-01-19,22019.81,bank_transfer,completed
PAY-00128,INV-00306,2026-01-29,69372.53,bank_transfer,completed
PAY-00129,INV-00307,2026-01-01,7920.21,wire,completed
PAY-00130,INV-00308,2026-02-01,24850.06,bank_transfer,completed
